x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,label
2,3,1,-2,1,1,0,-3,0,0,-1,-4,-1,-1,-2,-5,NROI
5,3,0,-3,4,2,-1,-4,3,0,-3,-5,2,-1,-4,-6,NROI
4,3,1,-1,2,1,0,-2,1,0,-1,-3,0,-1,-2,-3,NROI
3,2,1,0,2,1,0,-1,1,-1,-1,-2,0,-1,-2,-3,NROI
2,2,2,1,0,0,0,0,-1,-1,-1,-2,-2,-2,-3,-3,NROI
3,3,2,2,2,1,1,0,0,0,-1,-1,-1,-2,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
3,3,2,2,1,1,0,0,0,0,-1,-1,-1,-1,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,3,1,1,1,1,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,3,0,0,1,1,-1,-1,0,0,-2,-2,-2,-1,NROI
3,3,2,2,1,1,0,1,0,-1,-1,-1,-1,-2,-2,-2,NROI
2,2,2,2,0,0,0,1,-1,-1,-1,0,-3,-2,-2,-2,NROI
3,3,3,2,1,2,1,0,0,0,-1,-1,-1,-1,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-1,-2,-2,-2,-2,NROI
2,2,2,2,0,0,0,0,-1,-1,-1,-2,-2,-2,-2,-3,NROI
2,2,2,3,0,0,1,1,-1,-1,0,0,-2,-2,-2,-1,NROI
2,2,3,3,0,1,1,2,-1,0,0,0,-2,-2,-1,-1,NROI
1,1,1,2,0,0,0,0,-2,-2,-2,-1,-3,-3,-3,-3,NROI
2,2,3,3,0,1,1,1,-1,0,0,0,-2,-2,-1,-1,NROI
1,1,2,2,-1,0,1,1,-2,-2,-1,0,-3,-2,-2,-1,NROI
1,1,2,2,-1,0,0,2,-2,-1,0,1,-3,-2,-1,0,NROI
-1,0,1,4,-2,-1,1,5,-3,-3,0,4,-4,-4,-2,3,NROI
4,-2,-9,-17,6,2,-5,-12,7,4,-1,-8,7,5,1,-5,NROI
3,-4,-9,-12,7,0,-6,-10,12,5,-1,-7,16,9,3,-4,NROI
-1,0,1,2,-1,-1,0,1,-2,-1,0,1,-2,-2,0,1,NROI
-2,0,1,2,-2,-1,1,1,-3,-1,0,1,-3,-1,0,0,NROI
0,1,1,1,0,0,0,0,-1,0,0,0,-1,-1,-1,-1,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
1,1,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,ROI
0,0,0,-1,0,0,0,-1,1,0,0,-1,0,0,0,-1,ROI
1,0,0,0,1,0,0,-1,1,0,0,-2,1,0,0,-1,NROI
4,0,-1,-1,2,-2,-2,0,1,-3,-3,0,3,0,-1,1,NROI
13,-1,-24,-42,17,5,-16,-34,17,9,-8,-23,19,12,0,-11,NROI
0,-5,-6,-4,6,1,-1,-2,15,6,1,0,25,10,0,-2,NROI
-9,15,49,82,-14,-1,24,62,-15,-12,0,36,-17,-19,-18,11,NROI
3,4,2,2,-8,1,1,1,-27,-6,0,0,-52,-16,-1,-1,NROI
1,2,2,3,0,0,1,2,-1,-1,0,1,-3,-2,-1,0,NROI
1,1,1,0,-1,0,0,0,-2,-2,0,0,-3,-2,-1,0,NROI
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,ROI
0,0,0,-1,0,0,0,-1,0,0,0,-1,0,0,0,-1,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
-2,0,0,0,-2,0,0,0,-2,0,0,0,-2,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,-2,-10,-16,0,-1,-6,-8,0,0,0,0,0,1,2,3,NROI
14,-12,-36,-51,28,4,-22,-41,41,21,-5,-30,49,36,11,-18,NROI
-4,1,15,51,-2,-5,1,27,2,-8,-7,10,8,-4,-6,-1,NROI
-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,ROI
1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,NROI
0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1,ROI
0,0,-2,-3,-1,-1,3,2,-1,-1,3,2,-2,-2,2,1,NROI
2,1,1,0,4,0,-3,-5,4,0,-4,-7,2,-2,-5,-7,NROI
5,5,4,2,0,0,0,0,-2,-1,-1,0,-2,-1,-1,0,NROI
-14,-8,2,14,-13,-5,8,22,-13,-4,9,24,-12,-3,10,24,NROI
-23,-10,2,9,-15,-3,6,11,-13,-2,6,11,-13,-2,6,10,NROI
2,0,0,-1,3,1,0,0,3,1,0,-1,3,0,0,-1,NROI
1,1,2,3,0,0,-1,-2,0,-1,-2,-3,0,-1,-2,-3,NROI
7,3,-1,1,1,1,0,0,0,0,0,0,0,0,0,-1,NROI
4,4,3,0,1,1,0,-2,1,0,-1,-3,0,0,-2,-3,NROI
3,0,-3,-6,3,2,-1,-4,3,2,0,-4,2,2,0,-4,NROI
1,0,-2,-4,2,0,-1,-3,2,0,-1,-3,2,0,-1,-3,NROI
1,1,0,-2,1,0,-1,-2,2,0,-1,-2,1,0,-1,-2,NROI
-2,-2,-2,-3,1,0,0,-1,1,0,0,-1,0,0,0,-1,NROI
0,0,0,-1,1,1,1,0,1,1,0,0,1,1,0,-1,NROI
-2,-2,-2,-2,-1,1,0,0,-1,0,0,0,-1,0,0,0,NROI
-1,-1,-1,-1,1,0,0,0,1,0,0,0,1,0,0,-1,NROI
0,0,-1,-1,1,1,-1,-1,1,0,-1,-1,0,0,-1,-1,NROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
-1,-1,-1,0,0,1,1,1,0,0,1,1,0,0,0,1,NROI
-2,-2,-2,-1,-1,0,0,0,-1,0,0,0,-1,-1,0,0,NROI
-1,-2,-2,-2,1,0,0,0,0,0,0,0,0,0,0,0,ROI
-2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,-1,-1,0,0,0,-1,0,0,-1,-1,0,0,-1,-1,NROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,ROI
-2,-2,-2,-1,-2,0,0,0,-2,0,0,0,-2,0,0,0,NROI
-2,-2,-1,-1,0,0,0,0,-1,0,0,1,-1,0,0,0,NROI
-2,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
-1,-1,0,1,-1,0,1,1,-1,0,0,1,-1,0,0,1,NROI
-1,-1,1,5,-1,-1,0,3,-1,-1,0,2,-2,-1,0,2,NROI
0,-1,-3,-9,-1,2,2,-1,-1,2,3,0,-1,1,2,1,NROI
1,-6,-12,-19,10,3,-4,-11,12,5,-1,-7,13,7,1,-4,NROI
-7,-7,-6,-5,6,3,-2,-5,10,6,1,-4,13,9,4,-2,NROI
1,3,4,4,-3,-2,0,3,-2,-2,-1,3,-1,-2,0,3,NROI
-2,-2,-2,-2,-2,1,1,1,-2,1,1,1,-2,0,0,0,NROI
-1,-1,-1,-1,1,0,0,0,1,1,0,-1,0,-1,-1,-2,NROI
1,1,2,2,1,1,0,0,0,0,-1,-1,0,0,-2,-2,NROI
2,2,2,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
0,-1,-1,0,0,0,0,-4,0,0,0,-4,-1,-1,-1,-4,NROI
3,0,0,0,1,0,0,-1,0,0,0,0,1,1,0,0,ROI
0,-4,-14,-21,0,-1,-3,-4,0,0,0,0,1,1,0,0,NROI
10,-11,-26,-29,31,8,-12,-21,38,18,-5,-19,45,28,4,-15,NROI
0,-5,-11,12,4,-1,-8,3,2,0,-5,0,1,-1,-2,-1,NROI
-24,24,45,46,-49,-6,26,40,-60,-28,6,32,-70,-51,-20,16,NROI
-2,-1,0,0,1,1,0,5,0,0,-3,1,-6,-1,-5,-3,NROI
0,0,2,3,4,1,0,0,2,0,-2,-1,-2,-2,-2,-2,NROI
3,2,2,2,0,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,NROI
1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,NROI
-1,-1,-1,-1,0,0,0,0,1,0,0,0,1,0,0,0,ROI
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ROI
0,2,2,2,-1,0,0,0,-1,0,0,0,-1,-1,-1,-1,NROI
2,2,2,2,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
1,1,0,1,-1,-2,-4,0,-1,-1,0,-1,-2,0,4,0,NROI
5,-1,-23,-53,7,5,-9,-33,2,3,-1,-16,0,3,5,-3,NROI
1,-11,-15,-23,20,-2,-16,-22,39,11,-10,-18,57,33,13,2,NROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NROI
0,1,1,1,0,1,1,1,-1,0,0,0,-1,0,0,0,NROI
0,0,0,0,0,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,NROI
1,1,3,2,1,1,1,-1,0,0,-2,-4,0,0,-4,-6,NROI
7,4,1,0,5,2,0,-1,3,0,-2,-2,1,-1,-3,-3,NROI
-2,-1,0,1,-2,-1,0,3,-3,-1,0,4,-3,-1,0,5,NROI
-17,-7,4,18,-15,-6,6,19,-13,-5,7,20,-12,-4,8,20,NROI
-13,-3,5,10,-13,-3,4,8,-13,-4,3,7,-13,-4,3,6,NROI
3,1,1,0,2,1,0,0,1,0,0,-1,1,0,0,-1,NROI
2,1,0,-1,1,0,-1,-2,1,0,-1,-2,1,-1,-2,-3,NROI
0,0,0,0,0,0,0,0,-1,0,0,-1,-1,-1,-1,-1,ROI
2,1,0,-1,2,1,0,-2,2,0,-1,-2,1,0,-1,-2,NROI
2,2,-1,-4,2,1,-1,-4,1,1,-1,-4,1,1,-2,-4,NROI
2,0,-1,-3,2,0,-1,-3,2,0,-1,-3,2,0,-1,-3,NROI
1,0,-1,-2,2,0,-1,-2,2,0,-1,-2,1,0,-1,-3,NROI
1,1,0,0,1,1,0,-1,0,0,-1,-1,0,0,-1,-2,NROI
2,1,1,0,2,1,0,0,1,0,0,-1,0,0,0,-1,NROI
0,1,1,1,-1,1,1,0,-1,0,0,0,-2,0,0,-1,NROI
1,1,0,0,1,0,0,0,0,0,0,0,0,0,-1,-1,ROI
1,1,0,0,1,1,-1,-1,0,0,-1,-1,0,0,-2,-2,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,-1,-1,NROI
